id;firstname;lastname;username;email;balance
1;"Filippa";"Mikkelsen";"fmikkelsen";"fmikkelsen@stregsystemet.dk";624
2;"Børge";"Smith";"bsmith";"bsmith@stregsystemet.dk";83
3;"Benjamin";"Frederiksen";"bfrederiksen";"bfrederiksen@stregsystemet.dk";695.5
4;"Bjarne";"Johansen";"bjohansen";"bjohansen@stregsystemet.dk";884.5
5;"Dorthea";"Sørensen";"cr1t";"cr1t@stregsystemet.dk";715
6;"Dorthea";"Smith";"dsmith";"dsmith@stregsystemet.dk";253.5
7;"Mille";"Juhl";"mjuhl";"mjuhl@stregsystemet.dk";28
8;"Grethe";"Gade";"ggade";"ggade@stregsystemet.dk";481.5
9;"Rasmus";"Larsen";"rlarsen";"rlarsen@stregsystemet.dk";66.5
10;"Lene";"Thorup";"lthorup";"lthorup@stregsystemet.dk";244
11;"Kristina";"Haugaard";"khaugaard";"khaugaard@stregsystemet.dk";722.5
12;"Torben";"Andersen";"tandersen";"tandersen@stregsystemet.dk";321.5
13;"Nichlas";"Callesen";"ncallesen";"ncallesen@stregsystemet.dk";342
14;"Freja";"Callesen";"fcallesen";"fcallesen@stregsystemet.dk";707
15;"Gitte";"Degn";"gdegn";"gdegn@stregsystemet.dk";905
16;"Thyge";"Skou";"tskou";"tskou@stregsystemet.dk";825
17;"Magnus";"Berg";"mberg";"mberg@stregsystemet.dk";730
18;"Ivan";"Nielsen";"inielsen";"inielsen@stregsystemet.dk";79
19;"Mogens";"Kjær Olsen";"mko";"mko@stregsystemet.dk";752
20;"Sine";"Korsgaard";"skorsgaard";"skorsgaard@stregsystemet.dk";1000
21;"Aske";"Kjærsgaard";"akke";"akke@stregsystemet.dk";156
22;"Trine";"Bay";"tbay";"tbay@stregsystemet.dk";270
23;"Johanne";"Bundgaard";"jbundgaard";"jbundgaard@stregsystemet.dk";568
24;"Ragnhild";"Hoffmann";"rhoffmann";"rhoffmann@stregsystemet.dk";298
25;"Brian";"Antonsen";"bantonsen";"bantonsen@stregsystemet.dk";20.5
26;"Jim";"Abrahamsen";"jabrahamsen";"jabrahamsen@stregsystemet.dk";531
27;"Aage";"Dalgaard";"adalgaard";"adalgaard@stregsystemet.dk";791.5
28;"Svend";"Villumsen";"svillumsen";"svillumsen@stregsystemet.dk";299.5
29;"Bendt";"Frank";"bfrank";"bfrank@stregsystemet.dk";667
30;"Frans";"Fabricius";"ffabricius";"ffabricius@stregsystemet.dk";71.5
31;"Thorbjørn";"Munk";"tmunk";"tmunk@stregsystemet.dk";282
32;"Palle";"Therkelsen";"ptherkelsen";"ptherkelsen@stregsystemet.dk";30.5
33;"Nadja";"Abrahamsen";"nabrahamsen";"nabrahamsen@stregsystemet.dk";957
34;"Aksel";"Andreasen";"aandreasen";"aandreasen@stregsystemet.dk";971.5
35;"Christiane";"Pedersen";"cpedersen";"cpedersen@stregsystemet.dk";733
36;"Casper";"Borup";"cborup";"cborup@stregsystemet.dk";189.5
37;"Ernst";"Therkelsen";"etherkelsen";"etherkelsen@stregsystemet.dk";649
38;"Sonny";"Bay";"sbay";"sbay@stregsystemet.dk";345.5
39;"Karsten";"Boysen";"kboysen";"kboysen@stregsystemet.dk";647.5
40;"Dagmar";"Skou";"dskou";"dskou@stregsystemet.dk";235
41;"Bente";"Lund";"blund";"blund@stregsystemet.dk";736.5
42;"Mads";"Schmidt";"mschmidt";"mschmidt@stregsystemet.dk";402.5
43;"Monika";"Danielsen";"mdanielsen";"mdanielsen@stregsystemet.dk";867
44;"Rikke";"Hartmann";"rhartmann";"rhartmann@stregsystemet.dk";802
45;"Karina";"Boesen";"kboesen";"kboesen@stregsystemet.dk";515
46;"Charlotte";"Christensen";"cchristensen";"cchristensen@stregsystemet.dk";105
47;"Jonathan";"Friis";"jfriis";"jfriis@stregsystemet.dk";88
48;"Viola";"Rask";"vrask";"vrask@stregsystemet.dk";443.5
49;"Bertel";"Nicolaisen";"bnicolaisen";"bnicolaisen@stregsystemet.dk";523.5
50;"Maj";"Nissen";"mnissen";"mnissen@stregsystemet.dk";345
51;"Steffen";"Andreasen";"sandreasen";"sandreasen@stregsystemet.dk";506
52;"Gunner";"Henriksen";"ghenriksen";"ghenriksen@stregsystemet.dk";676.5
53;"Lise-Lotte";"Haugaard";"lhaugaard";"lhaugaard@stregsystemet.dk";127
54;"Elly";"Krog";"ekrog";"ekrog@stregsystemet.dk";501.5
55;"Lis";"Mølgaard";"iceiceice";"iceiceice@stregsystemet.dk";779.5
56;"Alvilda";"Hemmingsen";"ahemmingsen";"ahemmingsen@stregsystemet.dk";386.5
57;"Jannie";"Dahl";"jdahl";"jdahl@stregsystemet.dk";615.5
58;"Aage";"Skou";"askou";"askou@stregsystemet.dk";850
59;"Lillian";"Leth";"lleth";"lleth@stregsystemet.dk";334
60;"Mai";"Christiansen";"mchristiansen";"mchristiansen@stregsystemet.dk";387
